,STATE,YEAR,PRES_DEM_VOTES,PRES_REP_VOTES,PRES_DEM_RATIO,PRES_REP_RATIO
270,VIRGINIA,2000,1216422.0,1436877.0,0.45845643480060105,0.541543565199399
271,VIRGINIA,2004,1454742.0,1716959.0,0.4586630328646994,0.5413369671353006
272,VIRGINIA,2008,1959532.0,1725005.0,0.5318258440612755,0.46817415593872447
273,VIRGINIA,2012,1971820.0,1822522.0,0.5196737668876448,0.48032623311235517
274,VIRGINIA,2016,1981473.0,1769443.0,0.528263762771547,0.471736237228453
275,VIRGINIA,2020,7240240.0,5886181.0,0.5515776158634559,0.44842238413654417
276,WASHINGTON,2000,1247652.0,1108864.0,0.5294477100940541,0.4705522899059459
277,WASHINGTON,2004,1510201.0,1304894.0,0.5364653768345296,0.46353462316547045
278,WASHINGTON,2008,1750848.0,1229216.0,0.5875202680210895,0.4124797319789105
279,WASHINGTON,2012,1755396.0,1290670.0,0.5762829827062185,0.42371701729378153
280,WASHINGTON,2016,1742718.0,1221747.0,0.5878693120006476,0.4121306879993523
281,WASHINGTON,2020,2369612.0,1584651.0,0.599255031847907,0.4007449681520931
282,WEST VIRGINIA,2000,295497.0,336475.0,0.46757925984062587,0.5324207401593741
283,WEST VIRGINIA,2004,326541.0,423550.0,0.43533517933157445,0.5646648206684256
284,WEST VIRGINIA,2008,303857.0,397466.0,0.4332625623286275,0.5667374376713725
285,WEST VIRGINIA,2012,238269.0,417655.0,0.36325702367957263,0.6367429763204273
286,WEST VIRGINIA,2016,188794.0,489371.0,0.27838947748704224,0.7216105225129578
287,WEST VIRGINIA,2020,235984.0,545382.0,0.3020146768607797,0.6979853231392202
288,WISCONSIN,2000,1242987.0,1237279.0,0.5011506830315781,0.49884931696842194
289,WISCONSIN,2004,1489504.0,1478120.0,0.5019180327426924,0.4980819672573075
290,WISCONSIN,2008,1677211.0,1262393.0,0.5705567824781841,0.42944321752181586
291,WISCONSIN,2012,1620985.0,1410966.0,0.5346342998287241,0.4653657001712759
292,WISCONSIN,2016,1381823.0,1404440.0,0.49594133791390116,0.5040586620860988
293,WISCONSIN,2020,1630673.0,1610065.0,0.5031795226889677,0.49682047731103224
294,WYOMING,2000,60481.0,147947.0,0.2901769435968296,0.7098230564031704
295,WYOMING,2004,70776.0,167629.0,0.29687296826828297,0.7031270317317171
296,WYOMING,2008,82868.0,164958.0,0.3343797664490409,0.6656202335509591
297,WYOMING,2012,69286.0,170962.0,0.2883936598847857,0.7116063401152143
298,WYOMING,2016,55973.0,174419.0,0.2429468037084621,0.7570531962915379
299,WYOMING,2020,73491.0,193559.0,0.27519565624414905,0.724804343755851
